"","id","season","week","season_type","start_date","neutral_site","conference_game","venue_id","venue","home_id","home_team","home_conference","home_points","away_id","away_team","away_conference","away_points","excitement_index","home_1_pts","home_2_pts","home_3_pts","home_4_pts","away_1_pts","away_2_pts","away_3_pts","away_4_pts","winner","score_difference"
"1",401110723,2019,1,"regular","2019-08-24T23:00:00.000Z",TRUE,FALSE,4013,"Camping World Stadium",57,"Florida","SEC",24,2390,"Miami","ACC",20,"7.31126194387212",7,0,10,7,3,10,0,7,"Florida",4
"2",401114164,2019,1,"regular","2019-08-25T02:30:00.000Z",FALSE,FALSE,3610,"Aloha Stadium",62,"Hawai'i","Mountain West",45,12,"Arizona","Pac-12",38,"4.17424108603293",14,14,7,10,0,21,14,3,"Hawai'i",7
"3",401119255,2019,1,"regular","2019-08-29T23:00:00.000Z",FALSE,FALSE,3965,"UB Stadium",2084,"Buffalo","Mid-American",38,2523,"Robert Morris",NA,10,"1.87609394439129",21,7,10,0,7,3,0,0,"Buffalo",28
"4",401119254,2019,1,"regular","2019-08-29T23:00:00.000Z",FALSE,FALSE,3700,"Doyt Perry Stadium",189,"Bowling Green","Mid-American",46,2415,"Morgan State",NA,3,"1.62831689569959",13,17,7,9,0,3,0,0,"Bowling Green",43
"5",401117855,2019,1,"regular","2019-08-29T23:00:00.000Z",FALSE,FALSE,3892,"Rentschler Field",41,"Connecticut","American Athletic",24,2681,"Wagner",NA,21,"3.84254347869444",7,3,14,0,0,0,14,7,"Connecticut",3
"6",401117854,2019,1,"regular","2019-08-29T23:00:00.000Z",FALSE,FALSE,3854,"Nippert Stadium",2132,"Cincinnati","American Athletic",24,26,"UCLA","Pac-12",14,"4.2727845135865",7,3,7,7,0,7,7,0,"Cincinnati",10
"7",401135910,2019,1,"regular","2019-08-29T23:30:00.000Z",FALSE,FALSE,4418,"Jerry Richardson Stadium",2429,"Charlotte","Conference USA",49,2241,"Gardner-Webb",NA,28,"2.58018588889573",7,28,7,7,0,14,7,7,"Charlotte",21
"8",401117853,2019,1,"regular","2019-08-29T23:30:00.000Z",FALSE,FALSE,3652,"Bright House Networks Stadium",2116,"UCF","American Athletic",62,50,"Florida A&M",NA,0,"1.52621753397432",17,31,7,7,0,0,0,0,"UCF",62
"9",401114246,2019,1,"regular","2019-08-29T23:30:00.000Z",FALSE,FALSE,3796,"Houchens Industries-L. T. Smith Stadium",98,"Western Kentucky","Conference USA",28,2110,"Central Arkansas",NA,35,"4.35566741207351",14,7,7,0,0,14,0,21,"Central Arkansas",7
"10",401114236,2019,1,"regular","2019-08-30T00:00:00.000Z",FALSE,FALSE,4729,"Benson Field at Yulman Stadium",2655,"Tulane","American Athletic",42,2229,"Florida International","Conference USA",14,"1.89099702963633",7,21,14,0,0,7,7,0,"Tulane",28
"11",401111653,2019,1,"regular","2019-08-30T00:00:00.000Z",FALSE,TRUE,3836,"Memorial Stadium",228,"Clemson","ACC",52,59,"Georgia Tech","ACC",14,"1.50018244148183",14,14,14,10,0,0,7,7,"Clemson",38
"12",401114237,2019,1,"regular","2019-08-30T00:00:00.000Z",FALSE,FALSE,3803,"Legion Field",5,"UAB","Conference USA",24,2011,"Alabama State",NA,19,"4.82183096679294",14,10,0,0,13,0,6,0,"UAB",5
"13",401110731,2019,1,"regular","2019-08-30T00:30:00.000Z",FALSE,FALSE,3795,"Kyle Field",245,"Texas A&M","SEC",41,326,"Texas State","Sun Belt",7,"1.64197342089542",14,14,3,10,0,0,0,7,"Texas A&M",34
"14",401119253,2019,1,"regular","2019-08-30T00:50:00.000Z",FALSE,FALSE,3786,"Kelly/Shorts Stadium",2117,"Central Michigan","Mid-American",38,399,"Albany",NA,21,"3.69363151769203",7,17,7,7,0,7,7,7,"Central Michigan",17
"15",401112229,2019,1,"regular","2019-08-30T01:00:00.000Z",FALSE,FALSE,3953,"TCF Bank Stadium",135,"Minnesota","Big Ten",28,2571,"South Dakota State",NA,21,"4.10824899554991",0,13,7,8,0,7,14,0,"Minnesota",7
"16",401114153,2019,1,"regular","2019-08-30T02:00:00.000Z",FALSE,FALSE,3947,"Sun Devil Stadium",9,"Arizona State","Pac-12",30,2309,"Kent State","Mid-American",7,"2.61300839716257",10,0,17,3,0,0,0,7,"Arizona State",23
"17",401117493,2019,1,"regular","2019-08-30T02:00:00.000Z",FALSE,FALSE,3935,"Spartan Stadium",23,"San José State","Mountain West",35,2458,"Northern Colorado",NA,18,"2.71116745707924",14,7,7,7,3,3,9,3,"San José State",17
"18",401114223,2019,1,"regular","2019-08-30T02:15:00.000Z",FALSE,FALSE,3801,"LaVell Edwards Stadium",252,"BYU","FBS Independents",12,254,"Utah","Pac-12",30,"4.17139380036279",0,6,0,6,3,6,7,14,"Utah",18
"19",401114238,2019,1,"regular","2019-08-30T22:00:00.000Z",FALSE,FALSE,3841,"Blaik Field at Michie Stadium",349,"Army","FBS Independents",14,242,"Rice","Conference USA",7,"4.47242680867234",0,7,0,7,0,7,0,0,"Army",7
"20",401112212,2019,1,"regular","2019-08-30T23:00:00.000Z",FALSE,FALSE,3936,"Spartan Stadium",127,"Michigan State","Big Ten",28,202,"Tulsa","American Athletic",7,"2.1499733767063",7,18,3,0,0,7,0,0,"Michigan State",21
"21",401112264,2019,1,"regular","2019-08-30T23:15:00.000Z",FALSE,FALSE,3754,"High Point Solutions Stadium",164,"Rutgers","Big Ten",48,113,"UMass","FBS Independents",21,"2.84018439513481",7,31,3,7,21,0,0,0,"Rutgers",27
"22",401117856,2019,1,"regular","2019-08-30T23:55:00.000Z",FALSE,FALSE,3886,"Raymond James Stadium",58,"South Florida","American Athletic",0,275,"Wisconsin","Big Ten",49,"1.57934187622353",0,0,0,0,7,21,14,7,"Wisconsin",49
"23",401112430,2019,1,"regular","2019-08-31T00:00:00.000Z",FALSE,FALSE,3630,"BB&T Field",154,"Wake Forest","ACC",38,328,"Utah State","Mountain West",35,"9.33621804074145",10,7,14,7,7,14,7,7,"Wake Forest",3
"24",401112262,2019,1,"regular","2019-08-31T01:30:00.000Z",FALSE,FALSE,3816,"Mackay Stadium",2440,"Nevada","Mountain West",34,2509,"Purdue","Big Ten",31,"4.76616644247165",0,7,10,17,10,14,7,0,"Nevada",3
"25",401114184,2019,1,"regular","2019-08-31T02:00:00.000Z",TRUE,FALSE,3937,"Sports Authority Field at Mile High",38,"Colorado","Pac-12",52,36,"Colorado State","Mountain West",31,"3.68542295213627",7,17,14,14,7,14,3,7,"Colorado",21
"26",401112122,2019,1,"regular","2019-08-31T02:30:00.000Z",FALSE,FALSE,3893,"Reser Stadium",204,"Oregon State","Pac-12",36,197,"Oklahoma State","Big 12",52,"2.82796121935414",10,6,7,13,7,24,14,7,"Oklahoma State",16
"27",401112157,2019,1,"regular","2019-08-31T16:00:00.000Z",TRUE,FALSE,3812,"Lucas Oil Stadium",2050,"Ball State","Mid-American",24,84,"Indiana","Big Ten",34,"5.51548127008422",3,7,7,7,10,6,7,11,"Indiana",10
"28",401112085,2019,1,"regular","2019-08-31T16:00:00.000Z",FALSE,FALSE,3772,"Jack Trice Stadium",66,"Iowa State","Big 12",29,2460,"Northern Iowa",NA,26,"6.40269627758833",3,0,7,3,0,0,13,0,"Iowa State",3
"29",401112251,2019,1,"regular","2019-08-31T16:00:00.000Z",FALSE,FALSE,3861,"Ohio Stadium",194,"Ohio State","Big Ten",45,2226,"Florida Atlantic","Conference USA",21,"0.910054654164476",28,0,7,10,0,3,3,15,"Ohio State",24
"30",401110727,2019,1,"regular","2019-08-31T16:00:00.000Z",TRUE,FALSE,3493,"Mercedes-Benz Superdome",309,"Louisiana","Sun Belt",28,344,"Mississippi State","SEC",38,"5.37820766978797",7,7,0,14,7,14,7,10,"Mississippi State",10
"31",401110726,2019,1,"regular","2019-08-31T16:00:00.000Z",FALSE,FALSE,3805,"Liberty Bowl Memorial Stadium",235,"Memphis","American Athletic",15,145,"Ole Miss","SEC",10,"4.05312988289106",7,6,0,2,0,0,3,7,"Memphis",5
"32",401110724,2019,1,"regular","2019-08-31T16:00:00.000Z",FALSE,FALSE,3683,"Commonwealth Stadium",96,"Kentucky","SEC",38,2649,"Toledo","Mid-American",24,"4.08083111877419",0,14,10,14,7,7,3,7,"Kentucky",14
"33",401112431,2019,1,"regular","2019-08-31T16:00:00.000Z",FALSE,FALSE,3697,"Bobby Bowden Field at Doak Campbell Stadium",52,"Florida State","ACC",31,68,"Boise State","Mountain West",36,"4.82165365163625",21,10,0,0,6,13,7,10,"Boise State",5
"34",401112096,2019,1,"regular","2019-08-31T16:00:00.000Z",FALSE,FALSE,3833,"Memorial Stadium",2305,"Kansas","Big 12",24,282,"Indiana State",NA,17,"5.11787279949394",7,3,6,8,0,3,0,14,"Kansas",7
"35",401112432,2019,1,"regular","2019-08-31T16:00:00.000Z",FALSE,FALSE,3670,"Carter-Finley Stadium",152,"NC State","ACC",34,151,"East Carolina","American Athletic",6,"2.52646239091528",7,10,7,10,3,0,0,3,"NC State",28
"36",401112238,2019,1,"regular","2019-08-31T16:00:00.000Z",FALSE,FALSE,3834,"Memorial Stadium",158,"Nebraska","Big Ten",35,6,"South Alabama","Sun Belt",21,"4.31755802620576",7,7,14,7,7,0,14,0,"Nebraska",14
"37",401112145,2019,1,"regular","2019-08-31T16:00:00.000Z",FALSE,FALSE,3832,"Memorial Stadium",356,"Illinois","Big Ten",42,2006,"Akron","Mid-American",3,"1.75316384531554",14,14,14,0,3,0,0,0,"Illinois",39
"38",401112201,2019,1,"regular","2019-08-31T16:00:00.000Z",FALSE,FALSE,3665,"Maryland Stadium",120,"Maryland","Big Ten",79,47,"Howard",NA,0,"1.53101085170627",28,28,16,7,0,0,0,0,"Maryland",79
"39",401112143,2019,1,"regular","2019-08-31T18:00:00.000Z",FALSE,FALSE,3842,"Mountaineer Field at Milan Puskar Stadium",277,"West Virginia","Big 12",20,256,"James Madison",NA,13,"5.85183374247711",0,3,7,10,7,0,3,3,"West Virginia",7
"40",401119259,2019,1,"regular","2019-08-31T18:00:00.000Z",FALSE,FALSE,3876,"Peden Stadium",195,"Ohio","Mid-American",41,227,"Rhode Island",NA,20,"2.12190150039746",7,10,17,7,0,6,7,7,"Ohio",21
